timestamp_utc,item_name,buy_price,gems_total_est,expected_sell_net,profit,roi_percent,confidence_score,market_url
2026-05-05T18:29:39.260887+00:00,Kinetic: Timberthaw Chakram,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Timberthaw%20Chakram
2026-05-05T18:29:39.517417+00:00,Kinetic: Epitaphic Trap,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Epitaphic%20Trap
2026-05-05T18:29:39.734007+00:00,Kinetic: Triumphant Timelord,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Triumphant%20Timelord
2026-05-05T18:29:39.925943+00:00,Kinetic: Prosperity Remnants,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Prosperity%20Remnants
2026-05-05T18:29:40.156153+00:00,Kinetic: Yulsaria's Glacier,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Yulsaria%27s%20Glacier
2026-05-05T18:29:40.383641+00:00,Kinetic: Crucible of Light Illuminance,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Crucible%20of%20Light%20Illuminance
2026-05-05T18:29:40.581413+00:00,Kinetic: Stallion's Double Edge,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Stallion%27s%20Double%20Edge
2026-05-05T18:29:40.783940+00:00,Kinetic: Northlight Illuminance,0.0300,0.0600,0.0522,0.0222,74.00,77,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Northlight%20Illuminance
2026-05-05T18:29:40.997955+00:00,Kinetic: Dreamcoil of Reminiscence,0.0400,0.0600,0.0522,0.0122,30.50,61,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Dreamcoil%20of%20Reminiscence
2026-05-05T18:29:41.229548+00:00,Kinetic: Bladekeeper's Bladefury,0.0400,0.0600,0.0522,0.0122,30.50,61,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Bladekeeper%27s%20Bladefury
2026-05-05T18:53:57.537187+00:00,Kinetic: Timberthaw Chakram,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Timberthaw%20Chakram,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Timberthaw%20Chakram
2026-05-05T18:53:57.735341+00:00,Kinetic: Triumphant Timelord,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Triumphant%20Timelord,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Triumphant%20Timelord
2026-05-05T18:53:58.008742+00:00,Kinetic: Northlight Illuminance,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Northlight%20Illuminance,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Northlight%20Illuminance
2026-05-05T18:53:58.200035+00:00,Kinetic: Stallion's Double Edge,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Stallion%27s%20Double%20Edge,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Stallion%27s%20Double%20Edge
2026-05-05T18:53:58.399970+00:00,Kinetic: Epitaphic Trap,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Epitaphic%20Trap,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Epitaphic%20Trap
2026-05-05T18:53:58.636726+00:00,Kinetic: Prosperity Remnants,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Prosperity%20Remnants,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Prosperity%20Remnants
2026-05-05T18:53:58.822022+00:00,Kinetic: Yulsaria's Glacier,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Yulsaria%27s%20Glacier,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Yulsaria%27s%20Glacier
2026-05-05T18:53:58.988651+00:00,Kinetic: Crucible of Light Illuminance,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Crucible%20of%20Light%20Illuminance,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Crucible%20of%20Light%20Illuminance
2026-05-05T18:53:59.172490+00:00,Kinetic: Bladekeeper's Bladefury,0.0400,0.0600,0.0522,0.0122,30.50,61,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Bladekeeper%27s%20Bladefury,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Bladekeeper%27s%20Bladefury
2026-05-05T18:53:59.354617+00:00,Kinetic: Dreamcoil of Reminiscence,0.0400,0.0600,0.0522,0.0122,30.50,61,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Dreamcoil%20of%20Reminiscence,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Dreamcoil%20of%20Reminiscence
2026-05-05T19:10:09.862021+00:00,Kinetic: Timberthaw Chakram,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Timberthaw%20Chakram,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Timberthaw%20Chakram
2026-05-05T19:10:10.048396+00:00,Kinetic: Epitaphic Trap,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Epitaphic%20Trap,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Epitaphic%20Trap
2026-05-05T19:10:10.225598+00:00,Kinetic: Triumphant Timelord,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Triumphant%20Timelord,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Triumphant%20Timelord
2026-05-05T19:10:10.454829+00:00,Kinetic: Prosperity Remnants,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Prosperity%20Remnants,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Prosperity%20Remnants
2026-05-05T19:10:10.688070+00:00,Kinetic: Yulsaria's Glacier,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Yulsaria%27s%20Glacier,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Yulsaria%27s%20Glacier
2026-05-05T19:10:10.945440+00:00,Kinetic: Crucible of Light Illuminance,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Crucible%20of%20Light%20Illuminance,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Crucible%20of%20Light%20Illuminance
2026-05-05T19:10:11.215667+00:00,Kinetic: Stallion's Double Edge,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Stallion%27s%20Double%20Edge,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Stallion%27s%20Double%20Edge
2026-05-05T19:10:11.476656+00:00,Kinetic: Northlight Illuminance,0.0300,0.0600,0.0522,0.0222,74.00,77,estimated,https://steamcommunity.com/market/listings/570/Kinetic%3A%20Northlight%20Illuminance,https://steamcommunity.com/market/search?appid=570&q=Kinetic%3A%20Northlight%20Illuminance
